code,titles,optionA,optionB,optionCD,optionE,eligible
1111 Chief executives and senior officials,• Chairman • Chief executive • Civil servant (grade 5 & above) • Diplomat • Vice President,"£84,100 (£43.13 per hour)","£75,690 (£38.82 per hour)","£67,280 (£34.50 per hour)","£58,870 (£30.19 per hour)",Yes
1121 Production managers and directors in manufacturing,• Engineering manager • Managing director (engineering) • Operations manager (manufacturing) • Production manager • Technical manager,"£51,500 (£26.41 per hour)","£46,350 (£23.77 per hour)","£41,200 (£21.13 per hour)","£36,050 (£18.49 per hour)",Yes
1122 Production managers and directors in construction mining and energy,"• Building services manager
• Construction manager
• Director (building construction)
• Owner (electrical contracting)
• Site manager
• Service manager (public
utilities)","£50,100 (£25.69 per hour)","£45,090 (£23.12 per hour)","£40,080 (£20.55 per hour)","£35,070 (£17.98 per hour)",Yes
1123 Production managers and directors in mining and energy,"• Operations manager (mining, water & energy)
• Quarry manager
• Service manager (public utilities)","£51,600 (£26.46 per hour)","£46,440 (£23.82 per hour)","£41,280 (£21.17 per hour)","£36,120 (£18.52
per hour)",Yes
"1131 Financial
managers and
directors",• Bank Manager • Finance Director • Insurance Manager • Investment banker • Treasury manager,"£70,000 (£35.90 per hour)","£63,000 (£32.31 per hour)","£56,000 (£28.72 per hour)","£49,000 (£25.13 per hour)",Yes
"1132 Marketing, sales and advertising directors",• Account director (advertising) • Commercial director • Marketing director • Media director • Sales director,"£83,000 (£42.56 per hour)","£74,700 (£38.31 per hour)","£66,400 (£34.05 per hour)","£58,100 (£29.79 per hour)",Yes
1133 Public relations and communications directors,• Head of communications • Head of public relations,"£79,900 (£40.97 per hour)","£71,910 (£36.88 per hour)","£63,920 (£32.78 per hour)","£55,930 (£28.68 per hour)",Yes
1134 Purchasing managers and directors,• Bid production manager • Director of contracts • Head of buying • Purchasing manager,"£50,300 (£25.79 per hour)","£45,270 (£23.22 per hour)","£40,240 (£20.64 per hour)","£35,210 (£18.06 per hour)",Yes
1135 Charitable organisation managers and directors,• Charity director • Manager (charitable organisation),"£40,900 (£20.97 per hour)","£36,810 (£18.88 per hour)","£32,720 (£16.78 per hour)","£30,960 (£15.88 per hour)",Yes
1136 Human resource managers and directors,"• Human resources business
partner
• Human resources director
• Personnel manager
• Recruitment manager
• Training director","£49,400 (£25.33 per hour)","£44,460 (£22.80 per hour)","£39,520 (£20.27 per hour)","£34,580 (£17.73 per hour)",Yes
1139 Functional managers and directors not elsewhere classified,"• Area secretary (trade
association)
• Chief officer (local government)
• Clerk to the county council
• General Secretary (trade union)
• Town Clerk","£69,900 (£35.85 per hour)","£62,910 (£32.26 per hour)","£55,920 (£28.68 per hour)","£48,930 (£25.09 per hour)",Yes
"1140 Directors in logistics, warehousing and transport","• Airport director
• Head of logistics
• Owner (delivery service)
• Supply chain director
• Traffic director (transport)","£72,200 (£37.03 per hour)","£64,980 (£33.32 per hour)","£57,760 (£29.62 per hour)","£50,540 (£25.92 per hour)",Yes
1150 Managers and directors in retail and wholesale,"• Car sales manager • Manager (garden centre) • Managing director (wholesale, retail trade) • Retail manager • Shop manager (charitable organisation) • Wholesale manager","£33,100 (£16.97 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
1162 Senior police officers,• Chief superintendent (police service) • CID officer • Detective inspector • Police inspector,"£59,100 (£30.31 per hour)","£53,190 (£27.28 per hour)","£47,280 (£24.25 per hour)","£41,370 (£21.22 per hour)",Yes
"1163 Senior officers in fire, ambulance, prison and related services",• Chief immigration officer (HM Revenue and Customs) • Fire service officer (government) • Prison governor • Station officer (ambulance service),"£59,900 (£30.72 per hour)","£53,910 (£27.65 per hour)","£47,920 (£24.57 per hour)","£41,930 (£21.50 per hour)",Yes
1171 Health services and public health managers and directors,"• Clinical manager
• Director of nursing
• Health service manager
• Information manager (health authority: hospital service)","£43,900 (£22.51 per hour)","£39,510 (£20.26 per hour)","£35,120 (£18.01 per hour)","£30,960 (£15.88 per hour)",Yes
